Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,Subject Descriptor,Units,Scale,Country/Series-specific Notes,GDP per capita,Estimates Start After
France,13.0,0.5,78.0,7.76,65.0,69.6,0.6,31137.0,59479.0,21.0,5.0,82.4,6.4,4.33,42992.0,88.0,1.8,68.0,2.1,496.0,16.36,75.0,82.0,16.5,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,37675.0,2015.0
Germany,14.0,0.1,86.0,4.6,75.0,75.9,0.4,33652.0,57358.0,20.0,2.0,80.7,7.0,1.68,46389.0,92.0,1.8,65.0,2.1,508.0,15.55,72.0,93.0,18.3,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,40997.0,2014.0
Greece,18.0,0.5,72.0,7.3,52.0,61.8,1.0,17002.0,18117.0,24.0,17.4,81.1,5.2,16.95,25124.0,82.0,1.2,74.0,1.9,458.0,14.67,64.0,69.0,16.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,18064.0,2014.0
Hungary,19.0,4.3,83.0,3.05,67.0,50.7,1.2,16821.0,23289.0,18.0,4.8,75.7,5.3,2.42,21711.0,84.0,1.2,56.0,1.2,474.0,15.06,62.0,76.0,16.6,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12240.0,2015.0
Iceland,3.0,0.0,78.0,15.06,86.0,87.0,0.9,30453.0,64398.0,24.0,2.6,82.5,7.5,0.26,55984.0,98.0,1.6,76.0,1.6,481.0,14.15,79.0,99.0,19.3,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,50855.0,2014.0
Ireland,7.0,0.1,80.0,4.66,65.0,75.5,0.6,25439.0,43493.0,21.0,2.1,81.5,7.0,4.72,51681.0,96.0,2.1,82.0,0.8,509.0,15.28,65.0,82.0,18.7,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,51351.0,2014.0
Israel,21.0,4.4,87.0,15.04,69.0,70.2,1.7,24036.0,61805.0,20.0,2.6,82.1,7.2,0.46,34023.0,87.0,1.2,84.0,0.9,472.0,13.93,72.0,67.0,15.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,35343.0,2015.0
Italy,18.0,0.6,60.0,3.9,57.0,58.3,0.8,26063.0,64019.0,23.0,8.1,82.6,5.9,6.82,35397.0,91.0,1.4,66.0,1.5,485.0,14.89,75.0,71.0,16.4,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,29867.0,2015.0
Japan,14.0,6.4,94.0,21.81,74.0,70.6,0.3,28641.0,97595.0,22.0,1.5,83.9,5.9,1.24,39113.0,90.0,1.9,35.0,1.3,529.0,14.85,53.0,86.0,16.4,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32486.0,2015.0
Korea,28.0,4.2,87.0,20.84,66.0,63.9,1.1,21723.0,33495.0,15.0,2.4,82.1,5.9,0.03,32399.0,76.0,1.4,33.0,2.4,519.0,14.7,77.0,78.0,17.4,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,27195.0,2014.0
Latvia,11.0,12.9,89.0,2.09,69.0,60.7,6.6,15269.0,17105.0,23.0,6.8,74.6,5.9,3.73,22389.0,86.0,1.2,46.0,2.4,487.0,13.83,59.0,77.0,17.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13619.0,2015.0
Luxembourg,12.0,0.0,79.0,3.76,66.0,72.0,0.6,41317.0,74141.0,20.0,3.2,82.4,6.9,1.9,62636.0,92.0,2.0,70.0,1.5,483.0,15.15,91.0,85.0,15.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,101994.0,2014.0
Mexico,16.0,4.2,37.0,29.48,61.0,45.9,17.9,13891.0,4750.0,21.0,4.6,75.0,6.6,0.08,15311.0,80.0,1.0,66.0,3.5,416.0,12.74,63.0,67.0,14.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9009.0,2015.0
Netherlands,14.0,0.0,77.0,0.45,75.0,81.2,0.6,28783.0,90002.0,20.0,2.1,81.6,7.4,2.56,52833.0,90.0,1.9,76.0,1.3,508.0,15.9,82.0,93.0,18.7,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43603.0,2014.0
New Zealand,5.0,0.3,77.0,15.02,76.0,64.8,1.3,24366.0,52718.0,26.0,4.9,81.7,7.3,0.72,39397.0,95.0,2.4,88.0,2.5,506.0,14.87,77.0,90.0,17.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,37045.0,2015.0
Norway,5.0,0.0,82.0,3.17,74.0,87.7,0.6,35739.0,20347.0,17.0,2.7,82.4,7.5,0.59,53643.0,94.0,2.1,78.0,1.9,504.0,15.56,78.0,96.0,18.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,74822.0,2015.0
Poland,22.0,2.7,91.0,6.68,65.0,66.3,0.8,18906.0,14997.0,23.0,4.3,77.6,6.0,2.14,25921.0,89.0,1.1,58.0,2.6,504.0,14.42,55.0,80.0,17.7,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12495.0,2014.0
Portugal,10.0,1.0,47.0,8.2,65.0,72.1,1.0,20519.0,31877.0,21.0,6.5,81.2,5.2,6.14,24529.0,87.0,1.7,46.0,1.2,497.0,14.89,56.0,87.0,17.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,19122.0,2014.0
Russia,15.0,13.8,95.0,0.16,70.0,52.2,11.3,16657.0,2260.0,19.0,3.6,71.3,6.0,1.64,22101.0,90.0,1.0,43.0,0.8,492.0,14.9,65.0,54.0,16.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9055.0,2015.0
Slovak Republic,21.0,1.4,92.0,5.04,65.0,60.1,0.8,20265.0,10846.0,24.0,6.7,76.7,6.1,5.46,23508.0,91.0,1.1,66.0,2.9,463.0,15.01,60.0,82.0,15.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15992.0,2015.0
Slovenia,16.0,0.3,87.0,4.46,66.0,84.7,0.6,20505.0,20048.0,18.0,4.0,80.9,5.8,4.26,34965.0,91.0,1.5,65.0,2.8,509.0,14.75,52.0,89.0,18.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,20732.0,2015.0
South Africa,22.0,37.0,43.0,18.68,43.0,36.1,10.0,10872.0,17042.0,18.0,26.5,57.4,4.8,15.57,11554.0,88.0,0.7,67.0,1.6,391.0,14.73,73.0,69.0,15.3,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5695.0,2014.0
Spain,11.0,0.1,58.0,4.55,60.0,83.1,0.6,23129.0,35443.0,22.0,17.3,83.0,6.4,9.49,37333.0,95.0,1.9,72.0,1.6,491.0,15.93,70.0,73.0,17.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,25865.0,2014.0
Sweden,6.0,0.0,83.0,1.11,76.0,75.9,1.0,30553.0,90708.0,20.0,5.7,82.3,7.3,1.17,42816.0,92.0,1.8,80.0,2.0,496.0,15.18,86.0,95.0,19.2,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,49866.0,2014.0
Switzerland,15.0,0.0,87.0,6.91,80.0,84.0,0.5,36378.0,128415.0,21.0,1.8,83.0,7.5,1.94,60124.0,94.0,1.9,80.0,2.6,506.0,15.02,49.0,96.0,17.5,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,80675.0,2015.0
Turkey,20.0,6.5,39.0,33.77,51.0,60.6,1.7,17067.0,4429.0,20.0,13.0,78.0,5.5,2.24,22848.0,86.0,1.0,66.0,2.1,425.0,12.59,85.0,63.0,17.9,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9437.0,2013.0
United Kingdom,11.0,0.4,81.0,12.68,74.0,77.4,0.2,28408.0,83405.0,24.0,2.6,81.0,6.7,1.32,42835.0,93.0,2.0,70.0,2.9,500.0,14.92,69.0,85.0,16.8,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43771.0,2015.0
United States,10.0,0.1,90.0,11.45,69.0,74.1,4.9,44049.0,176076.0,18.0,3.8,78.8,6.9,0.65,60154.0,90.0,2.4,88.0,3.2,488.0,14.44,68.0,84.0,17.1,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,55805.0,2015.0
