Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,GDP per capita,Estimates Start After
China,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7990.0,2015.0
Colombia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6084.0,2014.0
Comoros,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,736.0,2003.0
Democratic Republic of the Congo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,476.0,1983.0
Republic of Congo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2032.0,2004.0
Costa Rica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,10936.0,2011.0
Croatia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11573.0,2013.0
Cyprus,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22587.0,2014.0
Czech Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,17257.0,2015.0
Denmark,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,52114.0,2015.0
Djibouti,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1788.0,2009.0
Dominica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7030.0,2011.0
Dominican Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6756.0,2014.0
Ecuador,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6071.0,2014.0
Egypt,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3740.0,2014.0
El Salvador,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4040.0,2007.0
Equatorial Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11762.0,2010.0
Eritrea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,695.0,2006.0
Estonia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,17288.0,2014.0
Ethiopia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,687.0,2008.0
Fiji,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5374.0,2013.0
Finland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,41974.0,2014.0
France,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,37675.0,2015.0
Gabon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7736.0,0.0
The Gambia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,451.0,2010.0
Georgia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3789.0,2013.0
Germany,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,40997.0,2014.0
Ghana,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1340.0,0.0
Greece,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,18064.0,2014.0
Grenada,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8937.0,2011.0
Guatemala,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3929.0,2010.0
Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,542.0,2009.0
Guinea-Bissau,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,595.0,2004.0
Guyana,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4125.0,2002.0
Haiti,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,805.0,0.0
Honduras,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2407.0,2001.0
Hong Kong SAR,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,42390.0,2015.0
Hungary,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12240.0,2015.0
Iceland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,50855.0,2014.0
India,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1617.0,2013.0
Indonesia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3362.0,2014.0
Islamic Republic of Iran,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4877.0,2012.0
Iraq,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4819.0,2013.0
Ireland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,51351.0,2014.0
Israel,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,35343.0,2015.0
Italy,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,29867.0,2015.0
Jamaica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4948.0,2014.0
Japan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32486.0,2015.0
Jordan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5513.0,2014.0
Kazakhstan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9796.0,2014.0
Kenya,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1388.0,2013.0
Kiribati,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1428.0,2013.0
Korea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,27195.0,2014.0
Kosovo,Gross domestic product per capita current prices,U.S. dollars,Units,,0.0,
Kuwait,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,29363.0,2014.0
Kyrgyz Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1113.0,2012.0
Lao P.D.R.,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1779.0,2012.0
Latvia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13619.0,2015.0
Lebanon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11237.0,2012.0
Lesotho,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1052.0,2006.0
Liberia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,474.0,2009.0
Libya,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6059.0,2014.0
Lithuania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,14210.0,2015.0
Luxembourg,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,101994.0,2014.0
FYR Macedonia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4787.0,2014.0
Madagascar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,402.0,2006.0
Malawi,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,354.0,2011.0
Malaysia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9557.0,2014.0
Maldives,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9000.0,2006.0
Mali,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,802.0,2010.0
Malta,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22734.0,2014.0
Marshall Islands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3356.0,2013.0
Mauritania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1282.0,2012.0
Mauritius,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9218.0,2014.0
Mexico,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9009.0,2015.0
Micronesia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3073.0,2013.0
Moldova,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1805.0,2015.0
Mongolia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3952.0,2014.0
Montenegro,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6489.0,2014.0
Morocco,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3079.0,2014.0
Mozambique,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,535.0,2013.0
Myanmar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1292.0,2007.0
Namibia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5777.0,2008.0
Nepal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,751.0,2012.0
Netherlands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43603.0,2014.0
New Zealand,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,37045.0,2015.0
Nicaragua,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1949.0,2013.0
Niger,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,405.0,2009.0
Nigeria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2743.0,2012.0
Norway,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,74822.0,2015.0
Oman,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15233.0,2012.0
Pakistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1450.0,2015.0
Palau,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,16070.0,2014.0
Panama,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13013.0,2013.0
Papua New Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2085.0,2012.0
Paraguay,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4010.0,2014.0
Peru,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6021.0,2015.0
Philippines,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2858.0,2015.0
Poland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12495.0,2014.0
Portugal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,19122.0,2014.0
Qatar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,76576.0,2014.0
Romania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8906.0,2015.0
Russia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9055.0,2015.0
Rwanda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,732.0,2012.0
Samoa,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4334.0,2011.0
San Marino,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,49847.0,2014.0
Saudi Arabia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,20813.0,2010.0
Senegal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,913.0,2011.0
Serbia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5120.0,2014.0
Seychelles,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,14941.0,2013.0
Sierra Leone,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,659.0,2014.0
Singapore,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,52888.0,2014.0
Slovak Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15992.0,2015.0
Slovenia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,20732.0,2015.0
Solomon Islands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1952.0,2014.0
South Africa,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5695.0,2014.0
South Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,221.0,2008.0
Spain,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,25865.0,2014.0
Sri Lanka,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3889.0,2012.0
St. Kitts and Nevis,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,16110.0,2003.0
St. Lucia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8192.0,2012.0
St. Vincent and the Grenadines,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6882.0,2014.0
Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2175.0,2010.0
Suriname,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9306.0,2011.0
Swaziland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3140.0,2014.0
Sweden,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,49866.0,2014.0
Switzerland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,80675.0,2015.0
Syria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,2010.0
Taiwan Province of China,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22288.0,2015.0
Tajikistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,922.0,2014.0
Tanzania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,942.0,2012.0
Thailand,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5742.0,2014.0
Timor-Leste,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2244.0,2011.0
Togo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,569.0,2010.0
Tonga,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3973.0,2012.0
Trinidad and Tobago,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,18086.0,2012.0
Tunisia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3923.0,2010.0
Turkey,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9437.0,2013.0
Turkmenistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6622.0,2004.0
Tuvalu,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3015.0,2012.0
Uganda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,620.0,2014.0
Ukraine,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2125.0,2015.0
United Arab Emirates,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,36060.0,2010.0
United Kingdom,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,43771.0,2015.0
United States,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,55805.0,2015.0
Uruguay,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,15748.0,2014.0
Uzbekistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2121.0,2013.0
Vanuatu,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2847.0,2014.0
Venezuela,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7745.0,2010.0
Vietnam,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2088.0,2012.0
Yemen,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1303.0,2008.0
Zambia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1350.0,2010.0
Zimbabwe,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1064.0,2012.0
