Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;2015;Estimates Start After
Djibouti;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.788;2009
Dominica;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;7.030;2011
Dominican Republic;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.756;2014
Ecuador;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.071;2014
Egypt;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.740;2014
El Salvador;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.040;2007
Equatorial Guinea;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;11.762;2010
Eritrea;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;695;2006
Estonia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;17.288;2014
Ethiopia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;687;2008
Fiji;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.374;2013
Finland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;41.974;2014
France;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;37.675;2015
Gabon;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;7.736;0
The Gambia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;451;2010
Georgia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.789;2013
Germany;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;40.997;2014
Ghana;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.340;0
Greece;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;18.064;2014
Grenada;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;8.937;2011
Guatemala;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.929;2010
Guinea;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;542;2009
Guinea-Bissau;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;595;2004
Guyana;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.125;2002
Haiti;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;805;0
Honduras;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.407;2001
Hong Kong SAR;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;42.390;2015
Hungary;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;12.240;2015
Iceland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;50.855;2014
India;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.617;2013
Indonesia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.362;2014
Islamic Republic of Iran;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.877;2012
Iraq;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.819;2013
Ireland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;51.351;2014
Israel;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;35.343;2015
Italy;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;29.867;2015
Jamaica;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.948;2014
Japan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;32.486;2015
Jordan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.513;2014
Kazakhstan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.796;2014
Kenya;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.388;2013
Kiribati;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.428;2013
Korea;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;27.195;2014
Kosovo;Gross domestic product per capita current prices;U.S. dollars;Units;;0;
Kuwait;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;29.363;2014
Kyrgyz Republic;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.113;2012
Lao P.D.R.;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.779;2012
Latvia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;13.619;2015
Lebanon;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;11.237;2012
Lesotho;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.052;2006
Liberia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;474;2009
Libya;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.059;2014
Lithuania;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;14.210;2015
Luxembourg;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;101.994;2014
FYR Macedonia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.787;2014
Madagascar;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;402;2006
Malawi;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;354;2011
Malaysia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.557;2014
Maldives;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.000;2006
Mali;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;802;2010
Malta;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;22.734;2014
Marshall Islands;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.356;2013
Mauritania;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.282;2012
Mauritius;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.218;2014
Mexico;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.009;2015
Micronesia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.073;2013
Moldova;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.805;2015
Mongolia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.952;2014
Montenegro;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.489;2014
Morocco;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.079;2014
Mozambique;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;535;2013
Myanmar;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.292;2007
Namibia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.777;2008
Nepal;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;751;2012
Netherlands;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;43.603;2014
New Zealand;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;37.045;2015
Nicaragua;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.949;2013
Niger;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;405;2009
Nigeria;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.743;2012
Norway;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;74.822;2015
Oman;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;15.233;2012
Pakistan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.450;2015
Palau;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;16.070;2014
Panama;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;13.013;2013
Papua New Guinea;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.085;2012
Paraguay;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.010;2014
Peru;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.021;2015
Philippines;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.858;2015
Poland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;12.495;2014
Portugal;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;19.122;2014
Qatar;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;76.576;2014
Romania;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;8.906;2015
Russia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.055;2015
Rwanda;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;732;2012
Samoa;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;4.334;2011
San Marino;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;49.847;2014
Saudi Arabia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;20.813;2010
Senegal;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;913;2011
Serbia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.120;2014
Seychelles;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;14.941;2013
Sierra Leone;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;659;2014
Singapore;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;52.888;2014
Slovak Republic;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;15.992;2015
Slovenia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;20.732;2015
Solomon Islands;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.952;2014
South Africa;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.695;2014
South Sudan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;221;2008
Spain;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;25.865;2014
Sri Lanka;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.889;2012
St. Kitts and Nevis;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;16.110;2003
St. Lucia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;8.192;2012
St. Vincent and the Grenadines;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.882;2014
Sudan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.175;2010
Suriname;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.306;2011
Swaziland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.140;2014
Sweden;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;49.866;2014
Switzerland;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;80.675;2015
Syria;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;n/a;2010
Taiwan Province of China;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;22.288;2015
Tajikistan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;922;2014
Tanzania;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;942;2012
Thailand;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;5.742;2014
Timor-Leste;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.244;2011
Togo;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;569;2010
Tonga;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.973;2012
Trinidad and Tobago;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;18.086;2012
Tunisia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.923;2010
Turkey;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;9.437;2013
Turkmenistan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;6.622;2004
Tuvalu;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;3.015;2012
Uganda;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;620;2014
Ukraine;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.125;2015
United Arab Emirates;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;36.060;2010
United Kingdom;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;43.771;2015
United States;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;55.805;2015
Uruguay;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;15.748;2014
Uzbekistan;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.121;2013
Vanuatu;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.847;2014
Venezuela;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;7.745;2010
Vietnam;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;2.088;2012
Yemen;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.303;2008
Zambia;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.350;2010
Zimbabwe;Gross domestic product per capita current prices;U.S. dollars;Units;See notes for:  Gross domestic product current prices (National currency) Population (Persons).;1.064;2012
